scenario_id,family,structure_height_m,top_width_m,downstream_slope_h_per_v,body_area_m2_per_m,height_local_elasticity
SYN50K-41554-2c0c8d3cb2,F4,3.4085307,1.1443851,1.2638689,11.242537,1.6530435
SYN50K-10230-b06449bca7,F4,3.5608355,1.1373875,1.4331456,13.13587,1.6916801
SYN50K-13412-a0406fc699,F4,3.7492502,0.86779212,1.7526819,15.572187,1.7910653
SYN50K-15564-aafb0e9252,F4,3.5535589,0.42965345,1.3969201,10.346799,1.8524376
SYN50K-03174-bf6bd64372,F4,3.1350907,0.79293883,1.6626041,10.656631,1.7667241
SYN50K-26708-a4e89f5eec,F4,3.3976961,0.74784567,1.7580734,12.68885,1.7997492
SYN50K-25126-d5357c2659,F4,3.1391447,0.7282885,1.3988582,9.1785373,1.7509186
SYN50K-37960-b673f05a8b,F4,2.0329032,0.42518352,1.6775041,4.3306636,1.80041
SYN50K-00946-cbdfecd0ee,F4,1.7514356,0.52875467,1.4988743,3.2249981,1.7128433
SYN50K-35606-b01df240e0,F4,3.1614436,0.72128766,1.5258343,9.9054581,1.7697925
SYN50K-48960-7a46296d4f,F4,2.8811283,0.95018498,1.496304,8.9479397,1.6940519
SYN50K-12796-d933bbb8fb,F4,2.2032958,1.1972214,1.8221272,7.0606021,1.6264011
SYN50K-15464-6e279245de,F4,3.186851,0.54377614,1.592439,9.8193541,1.8235186
SYN50K-16036-d98177193e,F4,1.3554201,0.4291971,1.4955455,1.9555233,1.7025132
SYN50K-39924-e80d5f0db3,F4,1.1313179,0.63671859,1.3951184,1.6131234,1.5534556
SYN50K-48432-405dc11691,F4,2.525356,0.55298023,1.6836447,6.765129,1.7935779
SYN50K-15140-bdcaf474c9,F4,1.6067288,0.60593652,1.8295694,3.3351633,1.7080876
SYN50K-38866-fca68d440a,F4,1.8572513,0.46079162,1.4968649,3.4374356,1.7510336
SYN50K-22882-f4d7f9ecbc,F4,2.2587199,0.4208917,1.7098173,5.3122626,1.8210411
SYN50K-46342-c4f0e3f1cc,F4,3.0070019,0.66133771,1.8554211,10.377059,1.8083615
SYN50K-44378-be4c0598d9,F4,2.533848,1.1609828,1.9213584,9.1096853,1.677074
SYN50K-49540-565bcd9b09,F4,2.3452331,0.70553538,1.7583079,6.4900954,1.7450508
SYN50K-05100-712854ce3b,F4,3.5961779,0.94475129,1.8376785,15.280378,1.7776564
SYN50K-00864-f9aff4f657,F4,3.5180022,0.97108222,1.3127738,11.539937,1.7039612
SYN50K-09014-fc0ff80e46,F4,2.492026,1.1119126,1.7435938,8.1849425,1.6614619
SYN50K-35856-c58cefae6e,F4,1.3307401,0.78441109,1.2505644,2.1511403,1.514747
SYN50K-45304-9fbe825303,F4,2.5421006,0.74556995,1.6489703,7.223364,1.7376134
SYN50K-47988-61547ec5a3,F4,1.8443256,0.50612852,1.2068966,2.9861175,1.6873982
SYN50K-16102-90abd94ced,F4,3.8760024,0.91810726,1.8986502,17.820671,1.8003113
SYN50K-33756-9fa15e7180,F4,2.6265664,0.49075195,1.6071462,6.8327238,1.8113501
SYN50K-41054-ede5219ff7,F4,3.1892931,0.65452942,1.7962421,11.222805,1.813996
SYN50K-31790-9d42fdf9f9,F4,3.2311698,0.6452523,1.6228893,10.556774,1.8025041
SYN50K-27488-5197f3ab4e,F4,1.2952844,0.46341385,1.3777792,1.7560454,1.6581793
SYN50K-34488-fcc5f827ef,F4,2.5831497,0.90465686,1.4218505,7.0806281,1.6699637
SYN50K-44892-1dfe667173,F4,3.9462352,0.74951574,1.6948335,16.154393,1.8169064
SYN50K-28620-a648aa949f,F4,3.0194424,0.68039002,1.5276577,9.0182508,1.7721955
SYN50K-20656-fdb0002906,F4,3.9138368,1.1697558,1.4319702,15.545778,1.7054999
SYN50K-14732-a7f91d18b6,F4,2.7779849,1.1795097,1.838459,10.370538,1.6840415
SYN50K-08726-d62d6ffa17,F4,3.4803769,0.49859751,1.6249547,11.576864,1.8501056
SYN50K-36482-851d2f140a,F4,2.4345387,0.93625228,1.6581414,7.1932269,1.6831266
SYN50K-15356-8276524ca4,F4,3.6386802,0.90217353,1.5566426,13.58769,1.7584048
SYN50K-41128-a89e03dea9,F4,1.5105695,0.70645225,1.8366993,3.1626542,1.6625792
SYN50K-05298-88a268c38c,F4,3.6641602,1.0175393,1.6452645,14.773145,1.7476213
SYN50K-22436-8e24f14fe7,F4,2.8733806,1.1170861,1.4499834,9.1955742,1.6509393
SYN50K-29646-8e65968587,F4,3.5144361,0.89737539,1.1508085,10.260736,1.6926372
SYN50K-43540-7d95ce0d75,F4,3.8005375,0.73401073,1.4572883,13.314233,1.7904772
SYN50K-09242-8a0d1e3104,F4,3.7444819,0.40358122,1.5294913,12.233812,1.8764733
SYN50K-39706-886cca2666,F4,3.3546667,0.84787474,1.7304473,12.581382,1.7739249
SYN50K-35966-9b1c2ec7d5,F4,2.9403487,1.1411197,1.2089052,8.581176,1.6089942
SYN50K-10104-5365ff1717,F4,1.8364954,0.59738373,1.4038494,3.4644847,1.6833317
SYN50K-48286-04904485d6,F4,3.4834376,0.83461044,1.5312569,12.197708,1.7616508
SYN50K-30186-2df27962b3,F4,2.0402295,0.59990023,1.7091874,4.7812114,1.7440117
SYN50K-44032-7b90c2f7e2,F4,2.2352331,1.0335557,1.7814938,6.7606475,1.6582815
SYN50K-05656-0abea52f03,F4,1.6608601,0.40096355,1.9540977,3.3610911,1.8018666
SYN50K-09010-dc752b573b,F4,1.8453999,0.97962886,1.2832216,3.9928131,1.5472348
SYN50K-08596-5c0342bd97,F4,3.4386044,0.80999878,1.437265,11.282376,1.7531313
SYN50K-26664-ec62ca6a61,F4,2.8317752,0.96707712,1.4557413,8.5753036,1.6806475
SYN50K-24600-a86729c0cb,F4,2.3944658,0.57974102,1.7319253,6.3531376,1.7814985
SYN50K-38750-2f83ae0568,F4,2.6006203,1.0290222,1.5447665,7.8998983,1.6612493
SYN50K-41506-06891fc91c,F4,2.5316438,0.61337279,1.6783145,6.9311851,1.7759631
SYN50K-01242-fea6207700,F4,3.9399343,1.171741,0.98369254,12.251553,1.6231839
SYN50K-45660-88c509d4f7,F4,2.0580476,0.79460719,1.7072125,5.2508397,1.6885566
SYN50K-04584-9ecef409c6,F4,1.8190173,0.55572657,1.8675586,4.1005877,1.7534802
SYN50K-22326-2b0e4faaad,F4,3.3651003,1.1825546,1.4906245,12.419256,1.679577
SYN50K-40746-8fb6384b9c,F4,3.5255357,0.41396217,1.7230731,12.167822,1.8800576
SYN50K-12090-f9f371b443,F4,3.3290441,1.0450538,1.2915777,10.636007,1.6729008
SYN50K-41962-d69b546833,F4,2.387672,0.49219548,1.7503838,6.1646506,1.8093645
SYN50K-38550-22ef9b50cf,F4,2.7320371,0.51335858,1.9416819,8.6488976,1.8378389
SYN50K-43072-a44806c330,F4,3.6597275,1.1385543,1.7755284,16.057162,1.7405022
SYN50K-01020-d32c6a9e64,F4,3.9578216,0.43411213,1.4460561,13.043904,1.8682804
SYN50K-33926-9be4d64719,F4,2.9396673,1.1391324,1.6212521,10.353812,1.6765761
SYN50K-09316-7329dc67da,F4,2.1161353,0.69527788,1.1295746,4.0004359,1.6322146
SYN50K-22514-2de8899a19,F4,1.7246778,0.68225011,0.99084746,2.6503062,1.556028
SYN50K-45476-84b329590d,F4,2.1154808,1.1228282,1.7991273,6.4011019,1.6289199
SYN50K-08424-cb02fab9ea,F4,2.4208258,0.61742755,1.7955109,6.7558881,1.7787582
SYN50K-33850-bb672d7ed4,F4,2.4763238,0.8357974,1.280938,5.9971759,1.6548867
SYN50K-10890-a751cefe18,F4,3.6522024,0.93081224,1.2032725,11.424489,1.7024362
